DataStream0,DataStream1,DataStream2,DataStream3,DataStream4,DataStream5,DataStream6,DataStream7,DataStream8,DataStream9,DataStream10,DataStream11,DataStream12,DataStream13,DataStream14,DataStream15,DataStream16,
109.0,0.0,438.0,4172.820512820514,3902.0512820512827,4363.076923076924,5695.8974358974365,3975.3846153846157,4213.846153846154,3904.615384615385,4290.769230769231,4127.179487179487,4036.410256410257,4329.743589743591,4097.948717948719,3632.820512820513,4040.0000000000005,
110.0,0.0,478.0,4171.282051282052,3897.435897435898,4358.974358974359,5704.102564102564,3976.9230769230776,4198.974358974359,3893.8461538461543,4277.948717948719,4117.435897435898,4027.692307692308,4308.717948717949,4089.7435897435903,3631.794871794872,4033.333333333334,
111.0,0.0,465.0,4164.615384615385,3892.307692307693,4355.384615384616,5706.153846153847,3971.7948717948725,4155.8974358974365,3864.1025641025644,4263.076923076924,4093.8461538461543,4043.589743589744,4305.641025641026,4081.538461538462,3628.717948717949,4023.589743589744,
112.0,0.0,447.0,4164.102564102564,3902.564102564103,4364.615384615385,5707.6923076923085,3977.435897435898,4167.179487179487,3883.589743589744,4278.974358974359,4111.282051282052,4042.0512820512827,4315.8974358974365,4090.7692307692314,3626.1538461538466,4027.692307692308,
113.0,0.0,438.0,4169.74358974359,3915.8974358974365,4373.333333333334,5708.717948717949,3995.3846153846157,4190.256410256411,3905.6410256410263,4301.538461538462,4128.717948717949,4043.589743589744,4328.717948717949,4105.641025641026,3632.307692307693,4037.435897435898,
114.0,0.0,478.0,4168.717948717949,3910.2564102564106,4365.641025641026,5707.179487179488,3989.23076923077,4166.153846153847,3894.358974358975,4297.435897435898,4109.74358974359,4055.3846153846157,4322.564102564103,4097.948717948719,3627.692307692308,4027.692307692308,
115.0,0.0,465.0,4165.128205128206,3909.7435897435903,4363.076923076924,5708.205128205129,3978.461538461539,4174.871794871796,3898.9743589743593,4297.948717948719,4119.48717948718,4042.564102564103,4309.743589743591,4090.2564102564106,3620.0000000000005,4021.538461538462,
116.0,0.0,447.0,4168.717948717949,3926.666666666667,4374.358974358975,5707.6923076923085,3996.410256410257,4208.205128205129,3917.9487179487182,4316.923076923077,4141.538461538462,4041.0256410256416,4325.128205128206,4105.128205128206,3637.9487179487182,4037.9487179487182,
117.0,0.0,438.0,4173.333333333334,3933.333333333334,4374.358974358975,5706.153846153847,4000.5128205128212,4187.179487179487,3914.8717948717954,4304.615384615385,4117.435897435898,4052.307692307693,4338.974358974359,4110.256410256411,3647.1794871794878,4041.0256410256416,
118.0,0.0,478.0,4168.717948717949,3930.2564102564106,4367.179487179487,5706.666666666667,3982.564102564103,4175.8974358974365,3909.2307692307695,4275.8974358974365,4100.512820512821,4032.820512820513,4317.435897435898,4095.8974358974365,3625.6410256410263,4022.0512820512827,
